一级总成,二级总成,标签,关键字,严重程度等级,是否召回标签
车身及内饰,车门,车门漏水,漏水 车门,中,否
车身及内饰,车顶,天窗漏水,漏水 天窗,中,否
车身及内饰,座椅,座椅磨损,磨损 座椅,低,否
车身及内饰,仪表台,仪表台开裂,开裂 仪表台,低,否
车身及内饰,车门,车门把手松动,松动 把手,低,否
车身及内饰,后备箱,后备箱异响,异响 后备箱,低,否
车身及内饰,座椅,座椅调节失效,失效 座椅调节,中,是
车身及内饰,车顶,顶棚脱落,脱落 顶棚,低,否
车身及内饰,车窗,车窗升降异常,异常 车窗,中,否
车身及内饰,中控台,中控台按键失灵,失灵 按键,低,否
车身及内饰,方向盘,方向盘抖动,抖动 方向盘,高,是
车身及内饰,车门,车门密封条老化,老化 密封条,低,否
车身及内饰,后视镜,后视镜调节失效,失效 后视镜,低,否
车身及内饰,仪表台,仪表盘指示灯故障,故障 指示灯,中,是
车身及内饰,座椅,座椅加热失效,失效 座椅加热,低,否
车身及内饰,车窗,车窗密封不严,密封 车窗,低,否
车身及内饰,车门,车门锁故障,故障 车门锁,高,是
车身及内饰,中控台,中控台异响,异响 中控台,低,否
车身及内饰,方向盘,方向盘按键失灵,失灵 方向盘按键,低,否
车身及内饰,车顶,车顶内饰变色,变色 内饰,低,否
